,ID,log2FoldChange
265,FBgn0001180,0.141728164
266,FBgn0001185,0.114357496
267,FBgn0001186,-0.40696802
268,FBgn0001187,-0.398054505
269,FBgn0001189,-0.718545228
270,FBgn0001197,-0.407411731
271,FBgn0001202,-0.102195886
272,FBgn0001206,0.429302559
273,FBgn0001208,0.369222926
274,FBgn0001215,0.053992191
275,FBgn0001216,-0.149430402
276,FBgn0001217,1.07121978
277,FBgn0001218,0.129253291
278,FBgn0001220,-0.088738949
279,FBgn0001222,-0.271111589
280,FBgn0001223,NA
281,FBgn0001224,-1.387513584
282,FBgn0001225,-1.484291498
283,FBgn0001226,-0.462397939
284,FBgn0001227,-0.86623253
285,FBgn0001228,0.891549339
286,FBgn0001229,-1.162216093
287,FBgn0001230,0.471516031
288,FBgn0001233,-0.114596036
289,FBgn0001234,-1.100170878
290,FBgn0001235,-0.141836526
291,FBgn0001247,0.023309025
292,FBgn0001248,0.1341069
293,FBgn0001250,0.166380879
294,FBgn0001253,-0.859693775
295,FBgn0001254,-6.629219957
296,FBgn0001255,-0.933872485
297,FBgn0001256,-2.754194201
298,FBgn0001257,-0.551777227
299,FBgn0001258,0.066737046
300,FBgn0001259,-0.239953081
301,FBgn0001263,-0.034649922
302,FBgn0001269,0.081550084
303,FBgn0001276,-0.165916143
304,FBgn0001280,-0.118825662
305,FBgn0001281,1.385635411
306,FBgn0001285,1.544572117
307,FBgn0001291,-0.416003769
308,FBgn0001296,-0.108655699
309,FBgn0001297,0.089982483
310,FBgn0001301,0.267296157
311,FBgn0001308,0.14244829
312,FBgn0001311,-0.650870053
313,FBgn0001313,3.478519288
314,FBgn0001316,0.40701103
315,FBgn0001319,0.527010166
316,FBgn0001320,0.35186262
317,FBgn0001321,-0.231675428
318,FBgn0001323,0.113148071
319,FBgn0001324,0.445998298
320,FBgn0001325,0.029342652
321,FBgn0001330,-0.147880561
322,FBgn0001341,0.098958712
323,FBgn0001404,0.016302691
324,FBgn0001491,-0.249355519
325,FBgn0001565,-0.4277172
326,FBgn0001612,-0.004381087
327,FBgn0001624,0.305869469
328,FBgn0001941,-0.153377614
329,FBgn0001942,-0.153074177
330,FBgn0001961,-0.308473441
331,FBgn0001965,0.166748959
332,FBgn0001967,2.440163198
333,FBgn0001970,-0.397593737
334,FBgn0001977,-0.251054221
335,FBgn0001978,-0.22350472
336,FBgn0001981,0.576192963
337,FBgn0001983,-2.948186549
338,FBgn0001986,-0.228165511
339,FBgn0001987,0.267240239
340,FBgn0001989,-0.401879324
341,FBgn0001990,-0.148634537
342,FBgn0001991,0.356921488
343,FBgn0001992,0.154430309
344,FBgn0001994,-0.066777253
345,FBgn0001995,-0.660058804
346,FBgn0002021,-0.326751123
347,FBgn0002022,-0.067296434
348,FBgn0002023,0.267568286
349,FBgn0002031,-0.557911838
350,FBgn0002036,-0.025300512
351,FBgn0002044,-0.001860934
